IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
198.41.193.35,4,4,0.00,282.15,5.70
198.41.199.16,4,4,0.00,281.12,5.65
198.41.195.192,4,4,0.00,298.08,5.28
162.159.38.120,4,4,0.00,301.73,5.18
162.159.42.93,4,4,0.00,304.08,5.12
198.41.192.86,4,4,0.00,296.68,5.11
162.159.34.200,4,4,0.00,316.63,4.89
162.159.160.74,4,4,0.00,258.09,4.29
172.64.204.70,4,4,0.00,251.32,4.18
172.64.205.48,4,4,0.00,247.49,4.17
172.64.198.204,4,4,0.00,262.71,3.95
172.64.202.231,4,4,0.00,277.15,3.91
172.64.138.28,4,4,0.00,273.29,3.88
172.64.102.197,4,4,0.00,266.28,3.85
172.64.106.123,4,4,0.00,271.21,3.80
198.41.197.218,4,4,0.00,272.41,3.79
172.64.199.42,4,4,0.00,278.00,3.79
172.64.236.70,4,4,0.00,271.52,3.76
172.64.136.208,4,4,0.00,283.72,3.75
162.159.44.63,4,4,0.00,278.48,3.74
172.64.99.205,4,4,0.00,286.84,3.66
172.64.104.146,4,4,0.00,295.26,3.53
172.64.203.109,4,4,0.00,275.53,3.53
172.64.20.164,4,4,0.00,327.63,3.18
172.64.27.181,4,4,0.00,336.99,3.05
172.64.28.128,4,4,0.00,344.22,3.00
172.64.18.35,4,4,0.00,348.12,2.88
103.21.244.13,4,4,0.00,282.04,2.84
104.27.17.194,4,4,0.00,285.66,1.97
162.159.138.170,4,4,0.00,147.37,1.71
162.159.35.98,4,4,0.00,344.80,1.65
104.27.75.12,4,4,0.00,353.52,1.64
104.27.63.251,4,4,0.00,326.99,1.63
104.16.17.154,4,4,0.00,362.27,1.51
104.19.59.40,4,4,0.00,296.80,1.49
162.159.133.217,4,4,0.00,110.43,1.42
104.27.38.234,4,4,0.00,304.05,1.40
104.27.16.46,4,4,0.00,313.21,1.38
104.16.70.229,4,4,0.00,360.29,1.38
104.16.91.234,4,4,0.00,350.98,1.34
104.27.29.218,4,4,0.00,316.14,1.32
104.27.51.202,4,4,0.00,314.49,1.31
104.19.20.200,4,4,0.00,302.57,1.31
162.159.134.226,4,4,0.00,109.39,1.23
104.16.33.241,4,4,0.00,360.68,1.21
198.41.208.59,4,4,0.00,359.38,1.21
104.19.60.54,4,4,0.00,261.67,1.17
104.18.231.73,4,4,0.00,299.22,1.14
172.67.177.110,4,4,0.00,260.71,1.14
104.22.51.175,4,4,0.00,358.33,1.14
104.19.110.19,4,4,0.00,300.58,1.13
104.19.167.237,4,4,0.00,337.74,1.11
104.27.53.245,4,4,0.00,293.46,1.10
104.27.76.243,4,4,0.00,362.22,1.10
104.27.23.17,4,4,0.00,256.06,1.08
198.41.198.11,4,4,0.00,354.13,1.07
162.159.142.162,4,4,0.00,155.58,1.07
162.159.128.178,4,4,0.00,112.18,1.06
104.18.196.72,4,4,0.00,334.46,1.04
104.27.79.16,4,4,0.00,340.58,1.03
104.19.18.146,4,4,0.00,296.67,1.00
104.19.53.90,4,4,0.00,259.46,1.00
104.27.13.155,4,4,0.00,304.46,1.00
104.19.46.122,4,4,0.00,286.68,1.00
104.19.90.65,4,4,0.00,299.97,0.96
104.19.155.250,4,4,0.00,335.25,0.96
162.159.153.32,4,4,0.00,107.03,0.95
172.64.175.218,4,4,0.00,315.44,0.95
104.27.7.137,4,4,0.00,294.78,0.94
104.16.67.222,4,4,0.00,359.51,0.93
104.27.69.218,4,4,0.00,335.66,0.93
104.27.70.251,4,4,0.00,326.49,0.93
104.19.72.61,4,4,0.00,291.86,0.90
162.159.129.181,4,4,0.00,111.52,0.88
162.159.135.196,4,4,0.00,108.47,0.85
162.159.143.13,4,4,0.00,147.88,0.84
104.21.32.129,4,4,0.00,291.35,0.82
104.27.34.102,4,4,0.00,320.06,0.82
104.19.50.147,4,4,0.00,269.10,0.80
162.159.140.154,4,4,0.00,161.99,0.79
104.27.31.69,4,4,0.00,305.72,0.77
104.19.68.198,4,4,0.00,275.29,0.77
104.16.62.128,4,4,0.00,357.35,0.75
104.19.56.110,4,4,0.00,253.05,0.73
104.19.85.105,4,4,0.00,359.27,0.71
104.16.29.158,4,4,0.00,359.90,0.64
104.27.8.151,4,4,0.00,312.89,0.54
172.67.186.24,4,4,0.00,295.29,0.46
104.24.143.44,4,4,0.00,357.85,0.46
104.18.220.138,4,4,0.00,360.61,0.44
104.19.131.36,4,4,0.00,345.62,0.43
104.22.40.33,4,4,0.00,361.79,0.42
104.16.40.117,4,4,0.00,362.09,0.38
104.27.19.97,4,4,0.00,291.57,0.36
104.21.45.239,4,4,0.00,338.51,0.24
104.19.19.158,4,4,0.00,335.46,0.24
172.65.178.80,4,4,0.00,327.54,0.00
172.65.100.103,4,4,0.00,356.05,0.00
172.65.214.250,4,4,0.00,293.38,0.00
172.65.204.148,4,4,0.00,290.69,0.00
